Index,Nombre1,Nombre2,Nombre3,Direccion1,Direccion2,Direccion3,Colonia,MunicipioDel,CP,EntreCalle1,EntreCalle2,Estado,NombComp
118,DAHV INTERNACIONAL S,A DE CV,,CUAUHTEMOC 1486,601 A,,SANTA CRUZ ATOYAC,BENITO JUAREZ,3310,UNO,DOS,CDMX,DAHV INTERNACIONAL  SA DE CV
119,BONGER QUIMICA SA DE,CV,,ANTOINE LAVOISIER,10,,PARQUE INDUSTRIAL CUAMATLA,CUAUTITLAN IZCALLI,54730,ALEXANDER GRAHAM BELL,GUILLERMO GONZALEZ CAMARE,Estado de Mexico,BONGER QUIMICA SA DE CV
120,GRUPO PLW SA DE CV,,,1RA CERRADA ARBOLITOS,3,,TEPOTZOTLAN CENTRO,TEPOTZOTLAN,54600,BALNEARIO,TEJOCOTES,Estado de Mexico,GRUPO PLW  SA DE CV
121,CEMENTO Y MATERIALES,PUENTE GRANDE SA DE,CV,ANTIG CARRET TEPOTZOTLAN 38,SN,,PUENTE GRANDE,CUAUTITLAN,54830,TEPOTZOTLAN,TEPOTZOTLAN,Estado de Mexico,CEMENTO Y MATERIALESPUENTE GRANDE  SA DE CV
122,REDBOX REFACCIONES S,A DE CV,,CALLE 43,97,,GRAL IGNACIO ZARAGOZ,VENUSTIANO CARRANZA,15000,,,CDMX,REDBOX REFACCIONES  SA DE CV
123,XOCONGO SA DE CV,,,XOCONGO,65,SOTANO L,TRANSITO,CUAUHTEMOC,6820,LORENZO BOTURINI,ALFREDO CHAVERO,CDMX,XOCONGO  SA DE CV
124,ELECTRICAL PRODUCTS,SUPPLY SA DE CV,,MANUEL J OTHON,59,,OBRERA,CUAUHTEMOC,6800,BOLIVAR,GUTIERREZ NAJERA,CDMX,ELECTRICAL PRODUCTS SUPPLY  SA DE CV
125,SILVERPLASTIC TUBERI,AS Y CONEXIONES SA D,E CV,5 DE FEBRERO,13,,STA CLARA COATITLA,ECATEPEC DE MORELOS,55540,ADOLFO LOPEZ MATEOS,LIBERTAD,Estado de Mexico,SILVERPLASTIC TUBERIAS Y CONEXIONES  SA DE CV
126,LATINOAMERICA OUTLET,S SA DE CV,,BLVD INDEPENDENCIA OTE,3980,,EL FRESNO,TORREON,27018,UNO,DOS,Coahuila,LATINOAMERICA OUTLETS  SA DE CV
127,MERKOMA SA DE CV,,,CORREGIDORA OTE,857,1,TORREON CENTRO,TORREON,27000,JUAN E GARCIA,EUGENIO AGUIRRE BENAVIDES,Coahuila,MERKOMA  SA DE CV
128,MUEBLERIA NAVARRO SA,DE CV,,MADERO,305,,CIUDAD ACUNA CENTRO,ACU#A,26200,5 DE MAYO,JUAREZ,Coahuila,MUEBLERIA NAVARRO SA DE CV
129,PROYECTOS DE EQUIPAM,IENTO URBANO SA DE C,V,AVE DE LOS PINOS,18,,SAN CLEMENTE SUR,ALVARO OBREGON,1740,FRESNOS,3 CDA BAHIA,CDMX,PROYECTOS DE EQUIPAMIENTO URBANO  SA DE CV
130,INTEGRA DIVISION POP,SA DE CV,,PROL PASEO DE LA REFORMA,115,604,PASEO DE LAS LOMAS,ALVARO OBREGON,1330,VASCO DE QUIROGA,ERNERT J PIPER,CDMX,INTEGRA DIVISION POP SA DE CV
131,"ABITS,SA DE CV",,,PRESIDENTE MASARYK,61,P 9,POLANCO V SECCION,MIGUEL HIDALGO,11560,AV SUDERMAN,TORCUATO TASSO,CDMX,"ABITS, SA DE CV"
132,MENDENG SA DE CV,,,AVE ALVARO OBREGON,12,403,ROMA NORTE,CUAUHTEMOC,6700,AV CUAUHTEMOC,FRONTERA,CDMX,MENDENG  SA DE CV
133,AG METAL SA DE CV,,,DIEGO DIAZ DE BERLANGA,100,,CARMEN ROMANO DE LOP,SAN NICOLAS DE LOS GARZA,66444,CUATRO,OCHO,Nuevo Leon,AG METAL  SA DE CV
134,"GRUPO LEOS HERMANOS,",S#A# DE C#V#,,AIDA,216,,PENITAS,LEON,37180,1,2,Guanajuato,"GRUPO LEOS HERMANOS, SA DE CV"
135,CALZADO MINI BURBUJA,S#SA DE CV,,BLVD LA LUZ,1728,,SAN PEDRO DE LOS HER,LEON,37280,SAN PEDRO,,Guanajuato,CALZADO MINI BURBUJAS SA DE CV
136,PROTEINAS INTEGRALES,SA DE CV,,CAM REAL DE CARRETAS,155,1,MILENIO III,QUERETARO,76060,CAMINO REAL,CARRETAS,Queretaro,PROTEINAS INTEGRALES SA DE CV
137,DISTRIBUIDORA DE TUB,OS Y CONEXIONES DEL,CENTRO SA DE CV,AV 5 DE FEBRERO,1025,7,LA SIERRITA,QUERETARO,76137,EPIGMENIO GONZALEZ,AV UNIVERSIDAD,Queretaro,DISTRIBUIDORA DE TUBOS Y CONEXIONES DEL CENTRO  SA DE CV
138,PROVEEDORA FLEXOGRAF,ICA DEL BAJIO SA DE,CV,AVENIDA MEXICO JAPON,108,B,CIUDAD INDUSTRIAL,CELAYA,38010,CALLE NORTE 7,NORTE 2,Guanajuato,PROVEEDORA FLEXOGRAFICA DEL BAJIO  SA DE CV
139,FABRICA DE HIGIENICO,S Y TUBOS DE CARTON,SA DE CV,PONIENTE 2,SN,,CIUDAD INDUSTRIAL,CELAYA,38010,NORTE 9,NORTE 11,Guanajuato,FABRICA DE HIGIENICOS Y TUBOS DE CARTON  SA DE CV
140,LA FAVO SA DE CV,,,GUILLERMO PRIETO,118,,ALAMEDA,CELAYA,38050,NUEVO LEON,AGUILAR Y MAYA,Guanajuato,LA FAVO  SA DE CV
141,REFRIGERADOS VAZQUEZ,SA DE CV,,AV TLAXCALTECAS,20,,PUEBLO DE LA LAGUNA,LAGOS DE MORENO,47410,PRIVADA,CARRETERA,Jalisco,REFRIGERADOS VAZQUEZ SA DE CV
142,EL FRESNO CHILES SEC,OS SA DE CV,,CARR SALIDA A DURANGO KM 2 5,SN,,FRESNILLO CENTRO,FRESNILLO,99000,PLAN DE AYALA,CARR SALIDA A DGO KM 2 5,Zacatecas,EL FRESNO CHILES SECOS  SA DE CV
143,HOTEL EXCELENCIA DE,AMERICA#SA DE CV,,AMERICA,721,,CENTRO,MOROLEON,38800,MICHOACAN,NAYARIT,Guanajuato,HOTEL EXCELENCIA DE AMERICA SA DE CV
144,CANEIRO SA DE CV,,,BEGONIA,35,C,GUADALUPE CENTRO,GUADALUPE,98600,RODRIGUEZ,H COLEGIO MILITAR,Zacatecas,CANEIRO  SA DE CV
145,ACEROS Y ELECTRODOS,APATZINGAN SA DE CV,,ALDERETE Y SORIA SUR,347,,CENTRO,APATZINGAN,60600,CAYETANO ANDRADE,HERIBERTO JARA,Michoacan,ACEROS Y ELECTRODOS APATZINGAN  SA DE CV
146,AISLAMIENTO Y REFRIG,ERACION DE MEXICO SA,DE CV,AV PERIODISMO,1843,,RECTOR HIDALGO,MORELIA,58190,JOSE GALLEGOS,RECTOR SALVADOR FRANCO,Michoacan,AISLAMIENTO Y REFRIGERACION DE MEXICO SA DE CV
147,DISTRIBUIDORA FARMAC,EUTICA MARVA SA DE C,V,AV PERIFERICO PASEO DE LA REPUBLICA,2015,,CAMELINAS,MORELIA,58290,DR SAMUEL RAMOS,DR SALVADOR ACEVES,Michoacan,DISTRIBUIDORA FARMACEUTICA MARVA  SA DE CV
148,CALZADO GALA SA DE C,V,,CARR# LEON#SAN FRANCISCO,KM 15 5,,LOMAS DE BUENAVISTA,SAN FRANCISCO DEL RINCON,36468,NORTE,SUR,Guanajuato,CALZADO GALA  SA DE CV
149,TOSTADAS FANNY S DE,RL DE CV,,PESCADORES,120,,SANTA MARIA,YURIRIA,38940,SANTA MARIA,MINA,Guanajuato,TOSTADAS FANNY S DE RL DE CV
150,GRANDEL PARTES AUTOM,OTRICES#SA DE CV,,ZARAGOZA,353,,CENTRO,TACAMBARO,61650,,,Michoacan,GRANDEL PARTES AUTOMOTRICES SA DE CV
151,METALACERO INGENIERI,A Y DISE#O SA DE CV,,FRANCISCO ESCUDERO MZ 149 LT 15,15,,SANTA MARTHA ACATITLA,IZTAPALAPA,9510,ADOLFO DUCLOS,M LOPEZ JIMENEZ,CDMX,METALACERO INGENIERIA Y DISEO  SA DE CV
152,EBEN-EZER FOLLAJES Y,FLORES SA DE CV,,JOSE MARIA MORELOS,SN,,BARRIO DE SAN PEDRO,IXTAPAN DE LA SAL,51900,LIBRAMIENTO IXTAPAN DE LA,ABASOLO,Estado de Mexico,EBEN-EZER FOLLAJES YFLORES  SA DE CV
153,XIPE SERVICIOS TECNI,COS Y ADMINISTRATIVO,S SA DE CV,ZAMORA,33,,CONDESA,CUAUHTEMOC,6140,JUAN DE LA BARRERA,AGUSTIN MELGAR,CDMX,XIPE SERVICIOS TECNICOS Y ADMINISTRATIVOS  SA DE CV
154,CONSTRUCCIONES Y PRO,YECTOS EMA SA DE CV,,PRIMERO DE MAYO,41,,LA SANTISIMA,SAN PABLO DEL MONTE,90950,,,Tlaxcala,CONSTRUCCIONES Y PROYECTOS EMA  SA DE CV
155,LA NUEVA CENTRAL DE,CIUDAD JUAREZ SA DE,CV,16 DE SEPTIEMBRE PTE,222,,CIUDAD JUAREZ CENTRO,JUAREZ,32000,LAS,LOS,Chihuahua,LA NUEVA CENTRAL DE CIUDAD JUAREZ  SA DE CV
156,PROMOTORA E INMOBILI,ARIA SIMY VALLEY SA,DE CV,AV SANTA FE,495,4,CRUZ MANCA,CUAJIMALPA DE MORELOS,5349,VASCO DE QUIROGA,PROL PASEO DE LA REFORMA,CDMX,PROMOTORA E INMOBILIARIA SIMY VALLEY  SA DE CV
157,TRANSPORTES SERCAM S,A DE CV,,CTO DUNAS,89,,JDN UNIVERC VILLAS DEL SOL,TORREON,27087,PRIMAVERA,DATILES,Coahuila,TRANSPORTES SERCAM  SA DE CV
158,COMERCIALIZADORA DE,ACEROS LA PIEDAD SA,DE CV,CARR LA PIEDAD GUADALAJARA KM 5 7,SN,,LA PIEDAD DE CABADAS,LA PIEDAD,59300,QWE,TYU,Michoacan,COMERCIALIZADORA DE ACEROS LA PIEDAD  SA DE CV
159,EMPORIO MILANI SA DE,CV,,BOULEVARD LUIS ECHEVERRIA ALVAREZ,1474,E 5,LOURDES,SALTILLO,25070,URDINOLA,EMILIO ARIZPE,Coahuila,EMPORIO MILANI SA DE CV
160,VARU FABRICA DE MUEB,LES SA DE CV,,JOAQUIN AMARO,35,,FRANCISCO VILLA,IZTAPALAPA,9720,DURANGO,PARRAL,CDMX,VARU FABRICA DE MUEBLES  SA DE CV
161,COMERCIALIZADORA AL,TRADE SA DE CV,,AV DEL POZO,78,6A,RECURSOS HIDRAULICOS,TULTITLAN,54913,OLIVOS,3RA SUR,Estado de Mexico,COMERCIALIZADORA AL TRADE  SA DE CV
162,RENOVA VITALIZADORA,DE LLANTAS SA DE CV,,CIRCUITO PERIFERICO,6418,########,LOMAS DEL 4,SAN PEDRO TLAQUEPAQUE,45599,UNO,DOS,Jalisco,RENOVA VITALIZADORA DE LLANTAS  SA DE CV
163,SUPERMERCADOS MR SA,DE CV,,HUERTAS,496,,JARDINES DE GUADALUP,GUADALAJARA,44740,INDUSTRIA,REPUBLICA,Jalisco,SUPERMERCADOS MR  SA DE CV
164,INDUSTRIAS BIOTECNOL,OGICAS DE JALISCO SA,DE CV,AV AMERICAS,1319,11,PROVIDENCIA 1RA SECC,GUADALAJARA,44630,BUENOS AIRES,FILADELFIA,Jalisco,INDUSTRIAS BIOTECNOLOGICAS DE JALISCO SA DE CV
165,CHIVO CONSTRUCCIONES,SA DE CV,,AV LOS NORMALISTAS,447,,ALCALDE BARRANQUITAS,GUADALAJARA,44270,JUAN JOSE BAZ,BRILLANTE 1,Jalisco,CHIVO CONSTRUCCIONES SA DE CV
166,AUTO THERMOS DE GUAD,ALAJARA#SA DE CV,,AV PERIFERICO,4113,,SAN JUAN DE OCOTAN,ZAPOPAN,45019,5 DE MAYO,INGLATERRA,Jalisco,AUTO THERMOS DE GUADALAJARA SA DE CV
167,INGREDIENTES INTERNA,CIONALES  SA DE CV,,LUIS DONALDO COLOSIO,LT 12,,INSURGENTES SUR,EL SALTO,45690,FCO VILLA,VENUSTIANO CARRANZA,Jalisco,INGREDIENTES INTERNACIONALES  SA DE CV
168,MERCA SHOES SA DE CV,,,SAN JUAN,362,A 12,EL COECILLO,LEON,37260,VALTIERRA,CANDELARIA,Guanajuato,MERCA SHOES  SA DE CV
169,SUELAS DEL BAJIO SA,DE CV,,PRIV GUTY CARDENAS,109,,SAN NICOLAS,LEON,37480,BAHIA,CALZ TEPEYAC,Guanajuato,SUELAS DEL BAJIO  SA DE CV
170,SERVICIO DE TRANSPOR,TACION TURISTICA PAL,O VERDE SA DE CV,EDUARDO VALDEZ VIZCARRA,820,,ESTADIO,MAZATLAN,82140,CIPRES,ROBLES,Sinaloa,SERVICIO DE TRANSPORTACION TURISTICA PALO VERDE  SA DE CV
171,"NUTRIALIMENTOS LIRA,",S#A# DE C#V#,,CALLE 13,2506,,MERCADO DE ABASTOS,GUADALAJARA,44530,MANDARINA,AV# DEL MERCADO,Jalisco,"NUTRIALIMENTOS LIRA, SA DE CV"
172,TEQUILERA EL TRIANGU,LO# SA DE CV,,AVENIDA  MIGUEL ANGEL,16,,REAL VALLARTA,ZAPOPAN,45020,CALLE,CALLE,Jalisco,TEQUILERA EL TRIANGULO  SA DE CV
173,COMERCIALIZADORA-GON,ZALEZ CARDENAS# SA D,E CV,GORDIANO GUZMAN,87,,VALLE DORADO,ZAPOTLAN EL GRANDE,49095,FLAMENCO,DIAMANTE,Jalisco,COMERCIALIZADORA-GONZALEZ CARDENAS  SA DE CV
174,JECOR SA DE CV,,,MARCOS GORDOA,10,,CIUDAD GUZMAN CENTRO,ZAPOTLAN EL GRANDE,49000,COLON,PRIMERO DE MAYO,Jalisco,JECOR  SA DE CV
175,GEOSINTETICOS DE MEM,BRANAS LOS VOLCANES,SA DE CV,AVENIDA DEL TESORO,1866,2,CERRO DEL TESORO,SAN PEDRO TLAQUEPAQUE,45608,VISTA A LA CAMPINA,FARALLON,Jalisco,GEOSINTETICOS DE MEMBRANAS LOS VOLCANES  SA DE CV
176,PRODIAVES SA DE CV,,,SAN MARCOS,203,P 1 ALA,CAPITAL CITY,AGUASCALIENTES,20207,BLVF JUAN PABLO II,CENTRO DE CONVENCIONES Y,Aguascalientes,PRODIAVES  SA DE CV
177,BARUCH AUTOMOTRIZ SE,RVICE SA DE CV,,BLV BERNARDO QUINTANA,114,,CARRETAS,SANTIAGO DE QUERETARO,76050,BERNARDO,CARRETERAS,Queretaro,BARUCH AUTOMOTRIZ SERVICE  SA DE CV
178,"ESPACIO NT, S.A. DE",C#V#,,ADOLFO LOPEZ MATEOS,100,,TROJES DE ALONSO,AGUASCALIENTES,20116,AVENIDA INDEPENDENCIA,IGNACIO ZARAGOZA,Aguascalientes,"ESPACIO NT, SA DE CV"
179,CURTIDOS LUBER SA DE,CV,,PZINAPECUARO,105,,MICHOACAN,LEON,37240,JIJILPAN,URUAPAN,Guanajuato,CURTIDOS LUBER SA DE CV
180,METRO ARQUITECTURA S,A DE CV,,FAUNA,2380,,BQUES DE LA VICTORIA,GUADALAJARA,44540,BARKIBETO,RINCONADA DE LA FLORESTA,Jalisco,METRO ARQUITECTURA  SA DE CV
181,ROM ZAP SA DE CV,,,JUAN DE LA BARRERA,116,,NI#OS HEROES,ENCARNACION DE DIAZ,47270,X X,X X,Jalisco,ROM ZAP  SA DE CV
182,COMERCIALIZADORA CAI,N SA DE CV,,DEL DESDEN,190 A,########,LOMAS DE SAN PEDRITO,QUERETARO,76148,PIE DE LA CUESTA,DEL DESDEN,Queretaro,COMERCIALIZADORA CAIN  SA DE CV
183,KR STONE SA DE CV,,,PUNTA MITA,192,,PUNTA JURIQUILLA,QUERETARO,76230,,,Queretaro,KR STONE  SA DE CV
184,DIVIMASA   SA DE CV,,,PALMAS,SN,,BARRIO DE LA CRUZ,SAN JUAN DEL RIO,76800,DESCONOCIDO,DOS,Queretaro,DIVIMASA  SA DE CV
185,DUALA CASA DEL CONST,RUCTOR SA DE CV,,PROL LA 2 SUR,6371,,LOMAS DEL SUR,PUEBLA,72470,ENTRE 1,ENTRE 2,Puebla,DUALA CASA DEL CONSTRUCTOR  SA DE CV
186,FANTASIAS Y NOVEDADE,S BELXICO SA DE CV,,PRIVADA EMILIANO ZAPATA,5998,BODEGA C,SAN BALTAZAR CAMPECH,PUEBLA,72550,BLVD CIRCUNVALACION,BLVD BALSEQUILLO,Puebla,FANTASIAS Y NOVEDADES BELXICO  SA DE CV
187,HOTSON GROUP SA DE C,V,,15 SUR,707,205 C,LA PAZ,PUEBLA,72160,AVE JUAREZ,9 PONIENTE,Puebla,HOTSON GROUP  SA DE CV
188,DISTRIBUIDORA DE CAR,NES DEBORA#SA DE CV,,AV 32 PONIENTE,522,,SANTA MARIA,PUEBLA,72080,5 NORTE,7 NORTE,Puebla,DISTRIBUIDORA DE CARNES DEBORA SA DE CV
189,FRACOVER SA DE CV,,,ARTICULO 27,1,A,BENITO JUAREZ,BOCA DEL RIO,94298,EJERCITO MEXICANO,VIA MUERTA,Veracruz,FRACOVER  SA DE CV
190,CONSTRUCTORA SAMPERI,O S DE RL DE CV,,COCOTEROS,34,,BIVALBO,CARMEN,24158,VALENCIA,ENRIQUEZ,Campeche,CONSTRUCTORA SAMPERIO S DE RL DE CV
191,INDUSTRIAS QUALITEX,SA DE CV,,AV BOULEVARD SAN FELIPE,330,C,RANCHO COLORADO,PUEBLA,72040,UNO,DOS,Puebla,INDUSTRIAS QUALITEX  SA DE CV
192,I T AUTOMATIZACION R,H SA DE CV,,PRIVADA PROGRESO,20,,SAN JUAN CUAUTLANCIN,CUAUTLANCINGO,72700,CALLE MORELOS,CALLE PROGRESO,Puebla,I T AUTOMATIZACION RH  SA DE CV
193,COMERCIALIZADORA PRY,KA#SA DE CV,,BODEGA C,18,2DA SECC,CENTRAL DE ABASTO,PUEBLA,72019,SEGUNDA,SECCION,Puebla,COMERCIALIZADORA PRYKA SA DE CV
194,GRUPO ESTRATEGA PUBL,ICIDAD SA DE CV,,VERACRUZ,10,,INDEPENDENCIA,PUEBLA,72150,INDEPENDENCIA,FORJADORES,Puebla,GRUPO ESTRATEGA PUBLICIDAD  SA DE CV
195,AGROCOMERCIALIZADORA,DE PRODUCTOS QUIMIC,OS SA DE CV,IXTACCIHUATL,4,,ANALCO DE PONCIANO ARRIAGA,SAN SALVADOR EL VERDE,74130,ANALCO,ANALCO,Puebla,AGROCOMERCIALIZADORADE PRODUCTOS QUIMIC OS  SA DE CV
196,QUESOS DEL DIAMANTE,SC DE RL DE CV,,CUARTA ORIENTE,7,,NUEVO MORELOS,JESUS CARRANZA,96960,CALLE,CONOCIDO,Veracruz,QUESOS DEL DIAMANTE SC DE RL DE CV
197,TRANSFAM SA DE CV,,,CARRETERA SALIDA AL TRIUNFO,SN,,ESCUINTLA,ESCUINTLA,30600,CARRETERA COSTERA,100 MTS GASOLINERA ESCUIN,Chiapas,TRANSFAM  SA DE CV
198,"CAFES DEL SUR, SA DE",CV,,8A AV NORTE,SN,,5 DE FEBRERO,TAPACHULA,30710,27A PONIENTE,29A PONIENTE,Chiapas,"CAFES DEL SUR, SA DE CV"
199,DIST DE EQUIPOS LUMI,NARIOS TRANF Y ACC E,LECTRICOS SA DE CV,CONSTITUYENTES DE 1825,308,A,URSULO GALVAN,COATZACOALCOS,96575,LINDA VISTA,DEMOCRACIA,Veracruz,DIST DE EQUIPOS LUMINARIOS TRANF Y ACC ELECTRICOS  SA DE CV
200,INGENIEROS EN SISTEM,AS Y TELECOMUNICACIO,NES SA DE CV,AV IGNACIO ZARAGOZA,304,203,CENTRO,COATZACOALCOS,96400,JOSE MARIA MORELOS,VENUSTIANO CARRANZA,Veracruz,INGENIEROS EN SISTEMAS Y TELECOMUNICACIONES  SA DE CV
201,CONSTRUCTORA JESAYKE,SA DE CV,,13 DE SEPTIEMBRE,25,,MORELOS,CHILPANCINGO DE LOS BRAVO,39030,IGNACIO CUEVAS,RIO VERDE,Guerrero,CONSTRUCTORA JESAYKE SA DE CV
202,PINTA MAS SA DE CV,,,GUSTAVO BAZ,308,,CENTRO,IXTLAHUACA,50740,CENTRO,CENTRO,Estado de Mexico,PINTA MAS  SA DE CV
203,ESTUDIOS Y PROYECTOS,ALFA#SA DE CV,,DE LA REPUBLICA,20,,BADILLO,XALAPA,91190,BADILLO,BASDILLO,Veracruz,ESTUDIOS Y PROYECTOSALFA SA DE CV
204,MARMOLES Y ACABADOS,DEL PACIFICO SA DE C,V,AV CUAUHTEMOC,211,LOC 3A,PROGRESO,ACAPULCO DE JUAREZ,39350,MICHOACAN,CUAUHTEMOC,Guerrero,MARMOLES Y ACABADOS DEL PACIFICO  SA DE CV
205,AUTOTRANSPORTES TEGA,SA DE CV,,MOTO TABU,1991,,LOMAS DE MAGALLANES,ACAPULCO DE JUAREZ,39680,,,Guerrero,AUTOTRANSPORTES TEGA SA DE CV
206,SER PLAT SA DE CV,,,HOMERO,1425,DESP 105,POLANCO V SECCION,MIGUEL HIDALGO,11560,UNO,DOS,CDMX,SER PLAT  SA DE CV
207,MERCADO TIO RANCHO S,DE RL DE CV,,AV NI#OS HEROES,671,,ZONA NORTE,TIJUANA,22000,CASA,DOS,Baja California,MERCADO TIO RANCHO SDE RL DE CV
208,INFINITY PAPELERIA S,DE RL DE CV,,RIO SUCHIATE,9420,,MARRON,TIJUANA,22015,CAMINO NUEVO,RIO BALSAS,Baja California,INFINITY PAPELERIA SDE RL DE CV
209,ESCOM ENERGY  S DE R,L DE CV,,SANTA FE,3113,A1,MINERAL DE SANTA FE,TIJUANA,22416,SAN RAFAEL,ABC,Baja California,ESCOM ENERGY S DE RL DE CV
210,MEXITAL CONSTRUCCION,ES Y SERVICIOS SA DE,CV,LAZARO CARDENAS,2138,7C,OTAY CONSTITUYENTES,TIJUANA,22457,UNIO,UNUU,Baja California,MEXITAL CONSTRUCCIONES Y SERVICIOS SA DE CV
211,CARBONERA SONORENSE,SA DE CV,,ESPANA,5042,,LIBRAMIENTO,TIJUANA,22225,SEMINARIO,CERRADA,Baja California,CARBONERA SONORENSE  SA DE CV
212,APRO COMERCIALIZADOR,A  SA DE CV,,AVE ITR DE TEPIC,3318,A,VILLAS DE OTAY,TIJUANA,22500,COLIMA,OAXACA,Baja California,APRO COMERCIALIZADORA  SA DE CV
213,MCKINLEY PACKAGING S,DE RL DE CV,,CALIDAD,2651,,INTERNACIONAL TIJUAN,TIJUANA,22424,CORPORATIVA,PRODUCCION,Baja California,MCKINLEY PACKAGING SDE RL DE CV
214,"REKA MATERIALES, S.A",# DE C#V#,,CACHANILLA,1828,,ANEXA HERRERA,TIJUANA,22614,UNO,DOS,Baja California,"REKA MATERIALES, SA DE CV"
215,SERVICIOS ESPECIALIZ,ADOS DE ELECTRICIDAD,SA DE CV,AV VENUSTIANO CARRANZA,2600,,BUROCRATA,SAN LUIS RIO COLORADO,83450,CARRANZA,CALLE 26,Sonora,SERVICIOS ESPECIALIZADOS DE ELECTRICIDAD SA DE CV
216,EQUIPOS DE REFRIGERA,CION OSIRIS SA DE CV,,JOSE MARIA MORELOS SUR,462,,JORGE ALMADA,CULIACAN,80200,AGUILAR BARRAZA,JUAN JOSE RIOS,Sinaloa,EQUIPOS DE REFRIGERACION OSIRIS  SA DE CV
217,JUPITER CONDUIT SA D,E CV,,IGNACIO RODRIGUEZ GALVAN PTE,7515,,BACHIGUALATO,CULIACAN,80140,CERRADA,SIN NOMBRE,Sinaloa,JUPITER CONDUIT  SA DE CV
218,COMPANIA PESQUERA MZ,T SA DE CV,,MARIA DEL CARMEN,17901,,BUGAMBILIAS,MAZATLAN,82139,AV WALAMO,PRISCILA,Sinaloa,COMPANIA PESQUERA MZT  SA DE CV
219,CONSORCIO ENTROPICO,GYB SA DE CV,,VASCO NUNEZ DE BALBOA,569,,REFORMA,VERACRUZ,91919,ISABEL LA CATOLICA,JOSE MARTI,Veracruz,CONSORCIO ENTROPICO GYB  SA DE CV
220,GRUPO CASVA S.A. DE,C#V#,,BENITO JUAREZ SUR,711,3,VICENTE GUERRERO,ENSENADA,22920,FRENTE GASOLINERA,UNICA EN V# GUERRERO,Baja California,GRUPO CASVA SA DE CV
221,SITACMEX DEL NOROEST,E S DE RL DE CV,,CALLE 4TA Y MATAMOROS,784,,GUADALUPE VICTORIA,MEXICALI,21720,,,Baja California,SITACMEX DEL NOROESTE S DE RL DE CV
222,METALES BARBA S DE R,L DE CV,,ELIOTH NORTE,153,,EL COLOSO,MEXICALI,21138,PLUTON,BAHIA SAN HIPOLITO,Baja California,METALES BARBA S DE RL DE CV
223,GASOLINERA GUME DE P,ROVIDENCIA SA DE CV,,BASE,2002,PTE,LA PROVIDENCIA,CAJEME,85203,HIDALGO,PRIVADA,Sonora,GASOLINERA GUME DE PROVIDENCIA  SA DE CV
224,HIDRO INGENIERIA Y C,LIMAS SA DE CV,,AVENIDA TANQUES,76,,SANTA FE,HERMOSILLO,83249,LAS CRUCES,CEJON,Sonora,HIDRO INGENIERIA Y CLIMAS  SA DE CV
225,MONTACARGAS Y EQUIPA,MIENTO INDUSTRIAL FI,VI SA DE CV,BLVD GARCIA MORALES,352,03:00 a. m.,EL LLANO,HERMOSILLO,83210,ANGEL ARREOLA,ARROLLO RIO LINDO,Sonora,MONTACARGAS Y EQUIPAMIENTO INDUSTRIAL FIVI  SA DE CV
226,FLEXOMEX DEL NOROEST,E SA DE CV,,CALLE SIMON BLEY,35,,OLIVARES,HERMOSILLO,83180,QUINTANA ROO,TLAXCALA,Sonora,FLEXOMEX DEL NOROESTE  SA DE CV
227,DESARROLLO Y PROCESO,DE MUEBLES HOGARE#O,S  SA DE CV,ENRIQUE QUIJADA,645,,22 DE SEPTIEMBRE,HERMOSILLO,83170,SOLIDARIDAD,CJON HAITI,Sonora,DESARROLLO Y PROCESODE MUEBLES HOGAREO S  SA DE CV
228,PIEDRAS HEADWATERS S,DE RL DE CV,,CAMINO MARTIN,2500,,RANCHO DOS PALMAS,TIJUANA,22645,UNO,DOS,Baja California,PIEDRAS HEADWATERS SDE RL DE CV
229,CORPORATIVO EMPRESAR,IAL HERSA SA DE CV,,AV EJE CENTRAL LAZARO CARDENAS,91,,DOCTORES,CUAUHTEMOC,6720,,,CDMX,CORPORATIVO EMPRESARIAL HERSA  SA DE CV
230,RYC SERVICIOS LEGALE,S  SA DE CV,,LUIS G URBINA,4,302,POLANCO V SECCION,MIGUEL HIDALGO,11560,ABC,CBA,CDMX,RYC SERVICIOS LEGALES  SA DE CV
231,CINEMATICA TIBURON S,A DE CV,,CHIAPAS,207,PISO 4,ROMA NORTE,CUAUHTEMOC,6700,MANZANILLO,MEDELLIN,CDMX,CINEMATICA TIBURON  SA DE CV
232,GRUPO EMPRESARIAL MI,XERPLUS SA DE CV,,PRESA TEPUXTEPEC,40,E,LOMAS HERMOSA,MIGUEL HIDALGO,11200,PRESA,LOMAS DE SOTELO,CDMX,GRUPO EMPRESARIAL MIXERPLUS  SA DE CV
233,SERVICIOS ESPECIALES,JUAN PABLO SA DE CV,,CARR PROGRESO BOMINTZHA,SN,,EL AGUILA PROGRESO DE ATOTONIL,ATOTONILCO DE TULA,42980,A UN LADO DE HIDROCARBURO,TRANSPORTES TUZOZ,Hidalgo,SERVICIOS ESPECIALESJUAN PABLO  SA DE CV
234,MAFOAGRI SA DE CV,,,PASEO DE CELAYA,800,,JARDINES DE CELAYA 1A SECC,CELAYA,38080,JACARANDAS,NOGAL,Guanajuato,MAFOAGRI  SA DE CV
